J,N,P,parameter,estimator,posterior_mean,posterior_sd,hdi_low,hdi_high,true_value,in_hdi,interval_width,r_hat,ess_bulk,ess_tail,abs_error,sq_error,relative_width
100,20000,10,beta_japanese,MLE,1.2837821733406685,0.039785021442260475,1.205803531313838,1.361760815367499,1.25,True,0.15595728405366094,,,,0.033782173340668464,0.0011412352356189712,0.12476582724292876
100,20000,10,beta_korean,MLE,0.8192538346370057,0.04620209704215591,0.7286977244343802,0.9098099448396313,0.75,True,0.1811122204052511,,,,0.06925383463700574,0.004796093611929736,0.2414829605403348
100,20000,10,beta_indian,MLE,0.9868696975419023,0.055393064810250976,0.8782992905138104,1.0954401045699942,1.0,True,0.2171408140561838,,,,0.013130302458097654,0.00017240484264112528,0.2171408140561838
100,20000,10,beta_french,MLE,0.9268303346745631,0.04243259484814429,0.8436624487722003,1.009998220576926,0.95,True,0.1663357718047257,,,,0.02316966532543685,0.0005368333912927507,0.17509028611023758
100,20000,10,beta_mexican,MLE,1.3213029161018126,0.041239740296629565,1.2404730251204186,1.4021328070832066,1.3,True,0.16165978196278807,,,,0.021302916101812563,0.00045381423444086497,0.1243536784329139
100,20000,10,beta_lebanese,MLE,0.897910144561663,0.042895592497677604,0.8138347832662148,0.9819855058571111,0.9,True,0.16815072259089625,,,,0.0020898554383370627,4.367495753146996e-06,0.18683413621210695
100,20000,10,beta_log_dist,MLE,-0.5960735208144364,0.011184039793794181,-0.617994238810273,-0.5741528028185998,-0.6,True,0.04384143599167323,,,,0.003926479185563547,1.5417238794663776e-05,0.07306905998612205
100,50000,10,beta_rating,MLE,0.7471648093902211,0.009588178467468783,0.7283719795939823,0.76595763918646,0.75,True,0.03758565959247773,,,,0.0028351906097788815,8.038305793778345e-06,0.0501142127899703
100,50000,10,beta_cost,MLE,-0.3990947310803115,0.0018450300439267573,-0.402710989966408,-0.39547847219421506,-0.4,True,0.007232517772192915,,,,0.0009052689196885066,8.195118169539959e-07,0.018081294430482286
100,50000,10,beta_chinese,MLE,0.8480666471137085,0.02655641238454055,0.796016078840009,0.900117215387408,0.83,True,0.10410113654739894,,,,0.018066647113708534,0.0003264037379312729,0.12542305608120355
100,50000,10,beta_japanese,MLE,1.2792156390723157,0.025141988162558342,1.2299373422737014,1.32849393587093,1.25,True,0.09855659359722857,,,,0.029215639072315724,0.0008535535664038213,0.07884527487778285
100,50000,10,beta_korean,MLE,0.7612682808547908,0.029445022553556483,0.7035560366498201,0.8189805250597615,0.75,True,0.11542448840994135,,,,0.011268280854790813,0.00012697415342244518,0.1538993178799218
100,50000,10,beta_indian,MLE,0.971999762177271,0.03510330265915089,0.9031972889653352,1.0408022353892068,1.0,True,0.13760494642387155,,,,0.02800023782272898,0.0007840133181293825,0.13760494642387155
100,50000,10,beta_french,MLE,0.9377925775431204,0.026789398705085354,0.8852853560811531,0.9902997990050877,0.95,True,0.10501444292393458,,,,0.012207422456879558,0.00014902116304072734,0.11054151886729957
100,50000,10,beta_mexican,MLE,1.2904884837404746,0.026092635541990556,1.239346918078173,1.3416300494027762,1.3,True,0.1022831313246031,,,,0.009511516259525399,9.046894155521604e-05,0.07867933178815623
100,50000,10,beta_lebanese,MLE,0.9172056255621583,0.027039664151676024,0.8642078838248733,0.9702033672994433,0.9,True,0.10599548347457,,,,0.017205625562158322,0.00029603355098519585,0.11777275941618888
100,50000,10,beta_log_dist,MLE,-0.6069927513410246,0.00702372502745765,-0.6207592523948415,-0.5932262502872077,-0.6,True,0.027533002107633875,,,,0.006992751341024617,4.8898571317401576e-05,0.04588833684605646
200,10000,10,beta_rating,MLE,0.7570114582533972,0.019306529521813557,0.7191706603906427,0.7948522561161517,0.75,True,0.07568159572550903,,,,0.007011458253397218,4.916054683913197e-05,0.10090879430067871
200,10000,10,beta_cost,MLE,-0.3941648140441601,0.0038527047357879043,-0.4017161153263044,-0.3866135127620158,-0.4,True,0.015102602564288636,,,,0.005835185955839928,3.404939513923153e-05,0.03775650641072159
200,10000,10,beta_chinese,MLE,0.8440566959396983,0.0718759371282713,0.7031798591682866,0.9849335327111101,0.83,True,0.28175367354282344,,,,0.014056695939698383,0.000197590700741133,0.33946225728051016
200,10000,10,beta_japanese,MLE,1.271194413796555,0.06813189132513425,1.1376559067992917,1.4047329207938182,1.25,True,0.26707701399452644,,,,0.021194413796554956,0.0004492031761795991,0.21366161119562116
200,10000,10,beta_korean,MLE,0.8543816450774971,0.07429877204992308,0.7087560518596479,1.0000072382953464,0.75,True,0.2912511864356986,,,,0.10438164507749714,0.010895527829084584,0.3883349152475981
200,10000,10,beta_indian,MLE,1.0306810828309882,0.07163759850404225,0.8902713897630654,1.171090775898911,1.0,True,0.28081938613584567,,,,0.03068108283098825,0.0009413288436819619,0.28081938613584567
200,10000,10,beta_french,MLE,1.0176519054837143,0.08596739707830506,0.8491558072102364,1.1861480037571923,0.95,True,0.3369921965469559,,,,0.06765190548371436,0.004576780315577421,0.3547286279441641
200,10000,10,beta_mexican,MLE,1.3357023990668155,0.06804045034391386,1.2023431163927443,1.4690616817408868,1.3,True,0.26671856534814253,,,,0.03570239906681549,0.0012746612991261477,0.20516812719087887
200,10000,10,beta_lebanese,MLE,0.9545527736972752,0.07337961277550258,0.8107287326572902,1.0983768147372603,0.9,True,0.28764808207997017,,,,0.05455277369727518,0.002976005118066119,0.31960898008885574
200,10000,10,beta_log_dist,MLE,-0.5636421903956036,0.013984898971174624,-0.5910525923791059,-0.5362317884121013,-0.6,False,0.05482080396700462,,,,0.036357809604396385,0.001321890319229538,0.09136800661167437
200,20000,10,beta_rating,MLE,0.7481256321508888,0.013653377141679194,0.7213650129531975,0.77488625134858,0.75,True,0.053521238395382476,,,,0.0018743678491112137,3.5132548337817977e-06,0.0713616511938433
200,20000,10,beta_cost,MLE,-0.3957142964824341,0.0027376480299685767,-0.4010800866211725,-0.3903485063436957,-0.4,True,0.010731580277476782,,,,0.004285703517565909,1.83672546404768e-05,0.026828950693691955
200,20000,10,beta_chinese,MLE,0.9093049320710358,0.052425655979200875,0.8065506463518021,1.0120592177902694,0.83,True,0.20550857143846735,,,,0.07930493207103584,0.006289272250791609,0.24760068848008115
200,20000,10,beta_japanese,MLE,1.3599571544216502,0.0497988978912746,1.262351314554752,1.4575629942885484,1.25,False,0.19521167973379638,,,,0.10995715442165022,0.012090575808506632,0.15616934378703712
200,20000,10,beta_korean,MLE,0.8929120472511963,0.05415182345586962,0.7867744732776919,0.9990496212247008,0.75,False,0.21227514794700886,,,,0.14291204725119633,0.02042385324952817,0.28303353059601183
200,20000,10,beta_indian,MLE,1.0929571340643396,0.0522185964149134,0.9906086850911093,1.1953055830375698,1.0,True,0.2046968979464605,,,,0.09295713406433959,0.008641028773455604,0.2046968979464605
200,20000,10,beta_french,MLE,1.0375199588743669,0.06281692759671711,0.9143987807848013,1.1606411369639325,0.95,True,0.24624235617913115,,,,0.08751995887436692,0.0076597432013708775,0.2592024801885591
